Genetic_ID	Original_Group	Proposed_Clean_Group	Locality	Suffix	Data_Type	Assessment	Assessment_Warnings
HGDP00600.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00601.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00602.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00604.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00606.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00675.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00676.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00677.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00678.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00679.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00680.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00682.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00683.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00684.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00685.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00686.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00687.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00688.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00689.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00690.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00691.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00692.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00693.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00694.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00696.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00697.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00698.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00699.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00700.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00722.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00723.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00724.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00725.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00726.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00727.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00729.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00730.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00731.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00732.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00733.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00734.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00735.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00736.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00737.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00738.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00739.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00740.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00741.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00744.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00745.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP00746.DG	Palestinian	Palestinian	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01149.DG	Italian_North	Italian_Bergamo	Italy, modern 2	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01151.DG	Italian_North	Italian_Bergamo	Italy, modern 2	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01152.DG	Italian_North	Italian_Bergamo	Italy, modern 2	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01153.DG	Italian_North	Italian_Bergamo	Italy, modern 2	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01155.DG	Italian_North	Italian_Bergamo	Italy, modern 2	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01156.DG	Italian_North	Italian_Bergamo	Italy, modern 2	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01157.DG	Italian_North	Italian_Bergamo	Italy, modern 2	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01161.DG	Italian_North	Italian_Tuscan	Italy, modern 3	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01162.DG	Italian_North	Italian_Tuscan	Italy, modern 3	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01163.DG	Italian_North	Italian_Tuscan	Italy, modern 3	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01164.DG	Italian_North	Italian_Tuscan	Italy, modern 3	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01166.DG	Italian_North	Italian_Tuscan	Italy, modern 3	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01167.DG	Italian_North	Italian_Tuscan	Italy, modern 3	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01168.DG	Italian_North	Italian_Tuscan	Italy, modern 3	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01169.DG	Italian_North	Italian_Tuscan	Italy, modern 3	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01171.DG	Italian_North	Italian_Bergamo	Italy, modern 2	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01172.DG	Italian_North	Italian_Bergamo	Italy, modern 2	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01173.DG	Italian_North	Italian_Bergamo	Italy, modern 2	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01174.DG	Italian_North	Italian_Bergamo	Italy, modern 2	DG	Shotgun.diploid	PROVISIONAL_PASS	..
HGDP01177.DG	Italian_North	Italian_Bergamo	Italy, modern 2	DG	Shotgun.diploid	PROVISIONAL_PASS	..
