Population_1	Population_2	Primary_Hudson_FST	Strict_Hudson_FST	Strict_minus_primary	Absolute_change	Primary_SE	Strict_SE	Primary_SNPs_used	Strict_SNPs_used
Italian_Bergamo	Maltese	0.015896205903644135	0.0046831791418488426	-0.011213026761795293	0.011213026761795293	0.000348479397739884	0.0003543838562457398	170225	169569
Italian_Bergamo	Sicilian	0.013775603018034486	0.0025887322590852826	-0.011186870758949204	0.011186870758949204	0.00033378673049172313	0.00034355532946536113	171677	171176
Italian_Bergamo	Italian_North	0.012143512426657722	0.0009631971312901301	-0.011180315295367591	0.011180315295367591	0.00027540620433585283	0.0002935914351381307	173211	172935
Italian_Bergamo	Italian_South	0.014236770514286038	0.0030590576134747454	-0.011177712900811293	0.011177712900811293	0.00024554711103430814	0.00023266768571708865	175492	175250
Italian_Bergamo	Jew_Turkish	0.01568461206518171	0.004536944352453168	-0.011147667712728543	0.011147667712728543	0.00041020776984086895	0.0004189428140376711	170253	169677
Italian_Bergamo	Lebanese_Christian	0.01877473002659997	0.00764761292371124	-0.011127117102888728	0.011127117102888728	0.00038273347340933	0.0003798524361648894	170834	170219
Italian_Bergamo	Lebanese	0.02000455313909299	0.00891400384688051	-0.011090549292212478	0.011090549292212478	0.0005915438415900598	0.0005893299785360693	171363	170780
Italian_Bergamo	Jew_Ashkenazi	0.018275620304141205	0.007186564369998657	-0.011089055934142548	0.011089055934142548	0.0006042169510826731	0.0005771887313951686	168745	168078
Italian_Bergamo	Lebanese_Muslim	0.017855021611149467	0.006833563631912081	-0.011021457979237386	0.011021457979237386	0.0005703744133531117	0.0005458775161944711	173350	172934
Jew_Ashkenazi	Jew_Yemenite	0.028354060906368803	0.017798177012750667	-0.010555883893618136	0.010555883893618136	0.00045844129629176984	0.0004121933158230126	166171	166165
Jew_Yemenite	Sicilian	0.025225567668412736	0.014684360734935604	-0.010541206933477132	0.010541206933477132	0.0005537320930369926	0.0005689414346943041	170623	170618
Jew_Yemenite	Lebanese	0.02198409904441688	0.011461813584972799	-0.010522285459444081	0.010522285459444081	0.00044856210397754896	0.0004543627329211719	168303	168300
Italian_Central	Jew_Yemenite	0.027189109239415477	0.01673669384561859	-0.010452415393796887	0.010452415393796887	0.00046389277978334297	0.00045100731734731337	173219	173212
Jew_Yemenite	Lebanese_Muslim	0.020936704433011127	0.010553201445605207	-0.01038350298740592	0.01038350298740592	0.0006196114303847115	0.0005728948526772879	171252	171248
Italian_North	Jew_Yemenite	0.029469976567506884	0.01909047817603718	-0.010379498391469705	0.010379498391469705	0.0003800970950508318	0.0003820762739969668	174065	174060
Italian_South	Jew_Yemenite	0.02623838008460474	0.015902649464995904	-0.010335730619608834	0.010335730619608834	0.0004430455768198202	0.0004314935116244186	175736	175734
Jew_Turkish	Jew_Yemenite	0.022752316531728004	0.01242983548023681	-0.010322481051491193	0.010322481051491193	0.0005359407514965146	0.0004883058928057056	167826	167815
Cypriot	Jew_Yemenite	0.02303142323190936	0.012717517863873902	-0.010313905368035456	0.010313905368035456	0.0007857788357506351	0.0007605757958179827	162882	162876
Jew_Yemenite	Maltese	0.025765515193939683	0.015456423278754216	-0.010309091915185467	0.010309091915185467	0.0006994110337310049	0.0005632874820116757	168015	168008
Jew_Yemenite	Lebanese_Christian	0.021490970194997145	0.011222036904348927	-0.010268933290648218	0.010268933290648218	0.00040705203148764423	0.000388700491516294	168162	168155
Greek	Jew_Yemenite	0.027385835281194357	0.017165644232428154	-0.010220191048766203	0.010220191048766203	0.0004439622595574392	0.00039843315920067663	174304	173916
Druze	Palestinian	0.015136105486902853	0.009309212115534071	-0.005826893371368783	0.005826893371368783	0.0002471184540071961	0.00025977169810927964	183774	183339
Cypriot	Druze	0.010573353550106728	0.007458625723068313	-0.0031147278270384155	0.0031147278270384155	0.000630575347051163	0.0006454045687489971	178630	178169
Druze	Italian_North	0.013921033891626558	0.010813351376674182	-0.0031076825149523764	0.0031076825149523764	0.00021215113854780734	0.0002175018165117244	180760	180528
Druze	Sicilian	0.01121913842180071	0.00812834892413215	-0.003090789497668561	0.003090789497668561	0.00033222975764888376	0.000329529108191165	180006	179714
Druze	Italian_Central	0.011774918729357813	0.008684473355791906	-0.0030904453735659063	0.0030904453735659063	0.0002634051190848204	0.00025570955319440095	180521	180287
Druze	Lebanese_Muslim	0.009049121767989974	0.005981040160391922	-0.003068081607598052	0.003068081607598052	0.00033245437624015246	0.0003418410536473717	180337	180040
Druze	Jew_Turkish	0.009925805903157583	0.006863888526638718	-0.0030619173765188646	0.0030619173765188646	0.00037515639717832595	0.00037111465221764336	179559	179188
Druze	Italian_South	0.011393154021870628	0.00833994931297057	-0.003053204708900057	0.003053204708900057	0.00022729742182561787	0.0002350425104230785	181169	180989
Druze	Lebanese	0.0099109338923794	0.006863981781452725	-0.0030469521109266744	0.0030469521109266744	0.00042874760964890525	0.000432218080572638	179829	179508
Druze	Jew_Ashkenazi	0.01435070093200131	0.011308847559640666	-0.0030418533723606447	0.0030418533723606447	0.00030154897167431274	0.0003109914938550891	179182	178812
Druze	Maltese	0.01243913164351833	0.009409876150662393	-0.0030292554928559364	0.0030292554928559364	0.00035379268406590143	0.00036062734977745253	179611	179305
Druze	Lebanese_Christian	0.009658218644108336	0.006631076919224345	-0.003027141724883991	0.003027141724883991	0.0002807514670220238	0.00028849763625298945	179427	179079
Palestinian	Sicilian	0.009962608166071378	0.007039343603168602	-0.0029232645629027765	0.0029232645629027765	0.0003265585689861459	0.00031759631794037077	182733	181537
Jew_Turkish	Palestinian	0.008944505587150755	0.006068144665757451	-0.002876360921393304	0.002876360921393304	0.00032753363927455644	0.000370148762863049	182378	180998
Italian_North	Palestinian	0.013548764709454954	0.010672719357081542	-0.0028760453523734124	0.0028760453523734124	0.00023472627899858854	0.00025554302747671394	183199	182305
Lebanese_Christian	Palestinian	0.007940367459809774	0.00507258791667299	-0.002867779543136784	0.002867779543136784	0.00029663023233016	0.000326748750836623	182362	181058
Italian_Central	Palestinian	0.011164471845757177	0.00831188316300834	-0.0028525886827488363	0.0028525886827488363	0.0002009305207903669	0.00020659412962006739	183007	182089
Jew_Ashkenazi	Palestinian	0.01320502506501451	0.010381576084034939	-0.002823448980979571	0.002823448980979571	0.0004221987181431555	0.0004563986525305552	182278	180853
Italian_South	Palestinian	0.010754299359391643	0.007933723199819172	-0.0028205761595724715	0.0028205761595724715	0.00022212568358036903	0.00025220420362946893	183190	182444
Maltese	Palestinian	0.011271033343234527	0.008472918317057102	-0.002798115026177425	0.002798115026177425	0.00034655603399811507	0.0003496464673644334	182381	181068
Cypriot	Palestinian	0.009128251491334472	0.006354047284654695	-0.002774204206679777	0.002774204206679777	0.0005019628808352953	0.000480743236634895	182072	180473
Druze	Greek	0.011796053630412886	0.009026060001827796	-0.0027699936285850903	0.0027699936285850903	0.00026420764724913756	0.00024984620407811635	180752	180425
Lebanese	Palestinian	0.007959797035272385	0.005209159257766339	-0.002750637777506046	0.002750637777506046	0.00025261838444628224	0.00023819281272056015	182390	181130
Lebanese_Muslim	Palestinian	0.006969922683474742	0.004260504776593154	-0.0027094179068815876	0.0027094179068815876	0.0002899280162267233	0.00027998376018664413	182656	181566
Greek	Palestinian	0.011235765294883567	0.008644824105778154	-0.002590941189105413	0.002590941189105413	0.00024633739834816246	0.0002482324049159722	183215	182241
Greek	Lebanese_Christian	0.004307745489705417	0.004596666905371327	0.0002889214156659098	0.0002889214156659098	0.00034029452994729735	0.0003564381300051984	173681	173354
Greek	Lebanese_Muslim	0.0039055382362573276	0.004173801482614198	0.0002682632463568706	0.0002682632463568706	0.0003763276322870509	0.0004013485996079394	175596	175325
Greek	Lebanese	0.005760048253736443	0.006018888974291561	0.00025884072055511794	0.00025884072055511794	0.00047507717801329103	0.00048351776216151954	174387	174063
Cypriot	Greek	0.003075699829226738	0.003272546439596147	0.00019684661036940918	0.00019684661036940918	0.000568926307151049	0.0005785116457372646	171161	170678
Greek	Jew_Turkish	0.002454728057406201	0.0026273105852995878	0.00017258252789338667	0.00017258252789338667	0.0003997961868198382	0.00041449069943536715	173359	173001
Greek	Jew_Ashkenazi	0.005653984190853242	0.0058121029778542225	0.0001581187870009805	0.0001581187870009805	0.0004499911523023339	0.00042361909737698345	172325	171908
Greek	Italian_South	0.0020136111530314003	0.002165091760014177	0.00015148060698277682	0.00015148060698277682	0.00025022727134549035	0.00025484420534055066	176951	176786
Greek	Sicilian	0.001278017983077359	0.0014108960924772574	0.00013287810939989833	0.00013287810939989833	0.0002644853653670486	0.0002927891516255886	174303	173994
Greek	Maltese	0.0034979670314234123	0.0036222373817232606	0.00012427035029984827	0.00012427035029984827	0.0003054672657447911	0.0003195472864312831	173441	173079
Greek	Italian_Central	0.0010248172974115096	0.0011326390032087524	0.00010782170579724283	0.00010782170579724283	0.00020575383153971345	0.00022597295490348857	175209	174980
Greek	Italian_North	0.0013505675761845998	0.001322323323695096	-2.8244252489503883e-05	2.8244252489503883e-05	0.00020153581871290636	0.00019687280579567162	175307	175055
Cypriot	Italian_Central	0.0034979684672722926	0.0034979684672722926	0.0	0.0	0.0005437203550259827	0.0005437203550259827	169851	169851
Cypriot	Italian_North	0.004787790610269007	0.004787790610269007	0.0	0.0	0.0006585824960928894	0.0006585824960928894	170825	170825
Cypriot	Italian_South	0.0033587026361197245	0.0033587026361197245	0.0	0.0	0.00048392227916396806	0.00048392227916396806	173194	173194
Cypriot	Jew_Ashkenazi	0.006622874078342364	0.006622874078342364	0.0	0.0	0.0008251828028187241	0.0008251828028187241	160535	160535
Cypriot	Jew_Turkish	0.0026127488013342965	0.0026127488013342965	0.0	0.0	0.0004580330188987467	0.0004580330188987467	163020	163020
Cypriot	Lebanese	0.00401041190996661	0.00401041190996661	0.0	0.0	0.0006787533683562094	0.0006787533683562094	164198	164198
Cypriot	Lebanese_Christian	0.0030460991753935214	0.0030460991753935214	0.0	0.0	0.000517594787205242	0.000517594787205242	163770	163770
Cypriot	Lebanese_Muslim	0.0027207974347097674	0.0027207974347097674	0.0	0.0	0.0004690840987105646	0.0004690840987105646	168024	168024
Cypriot	Maltese	0.0045762498470542975	0.0045762498470542975	0.0	0.0	0.0006257666177970693	0.0006257666177970693	162977	162977
