Panel	Population_1	Population_2	Hudson_FST_ratio_of_sums	Chromosome_jackknife_SE	CI95_low	CI95_high	SNPs_used	Negative_numerator_SNPs	Sum_numerator	Sum_denominator	Jackknife_blocks
strict_pass	Jew_Ashkenazi	Lebanese	0.007455562459110745	0.0007140118013183199	0.006056099328526838	0.008855025589694651	167282	99297	397.4125773035938	53304.17114512308	22
strict_pass	Jew_Ashkenazi	Lebanese_Christian	0.006783166123863392	0.0005883730102006838	0.005629955023870052	0.007936377223856733	166642	102922	358.634335064509	52871.229823315414	22
strict_pass	Jew_Ashkenazi	Lebanese_Muslim	0.006103783828964277	0.0005389445178244036	0.005047452574028446	0.007160115083900108	170323	114358	324.357244718345	53140.35585257345	22
strict_pass	Jew_Ashkenazi	Maltese	0.006646429101864536	0.0004999964801577591	0.005666436000755328	0.007626422202973744	165942	99721	351.53680337514896	52891.07850056381	22
strict_pass	Jew_Ashkenazi	Palestinian	0.010381576084034939	0.0004563986525305552	0.00948703472507505	0.011276117442994827	180853	105086	556.2697931758125	53582.402967817085	22
strict_pass	Jew_Ashkenazi	Sicilian	0.005083613921845823	0.000548805634871385	0.004007954877497908	0.006159272966193737	168832	114502	268.10629445776124	52739.31076977101	22
strict_pass	Jew_Iraqi	Jew_Turkish	0.0077959396697933215	0.0005257003188462716	0.006765567044854629	0.008826312294732014	164517	93647	413.0353223165448	52980.825892857996	22
strict_pass	Jew_Iraqi	Jew_Yemenite	0.014966634620153694	0.00044617921793055034	0.014092123353009816	0.015841145887297573	164420	90310	797.5965031494454	53291.6399305574	22
strict_pass	Jew_Iraqi	Lebanese	0.007148113942726165	0.0008037798455265516	0.005572705445494123	0.008723522439958206	165662	94259	380.78693389939707	53270.96587301624	22
strict_pass	Jew_Iraqi	Lebanese_Christian	0.005585891490830263	0.0005222094461844101	0.004562360976308819	0.006609422005351706	165126	93315	294.88423965740816	52790.90009920294	22
strict_pass	Jew_Iraqi	Lebanese_Muslim	0.005671225376891342	0.0006470134748818353	0.004403078966122945	0.006939371787659739	168995	104934	301.14526748274386	53100.564246631184	22
strict_pass	Jew_Iraqi	Maltese	0.009883599873443644	0.0005330885466420808	0.008838746322025165	0.010928453424862122	164555	92928	524.2978918303379	53047.2599603187	22
strict_pass	Jew_Iraqi	Palestinian	0.009017356837427676	0.0005108039372070135	0.00801618112050193	0.010018532554353423	180552	104010	482.35563298159565	53491.90917892013	22
strict_pass	Jew_Iraqi	Sicilian	0.008554913806264622	0.0006844924559587873	0.007213308592585399	0.009896519019943845	167818	102815	452.61689280790665	52907.24173941564	22
strict_pass	Jew_Turkish	Jew_Yemenite	0.01242983548023681	0.0004883058928057056	0.011472755930337628	0.013386915030135994	167815	88497	663.3258811374772	53365.62034084458	22
strict_pass	Jew_Turkish	Lebanese	0.003851796946552487	0.00039656307429720695	0.0030745333209299614	0.004629060572175013	168622	93716	205.3152029022568	53303.74517431978	22
strict_pass	Jew_Turkish	Lebanese_Christian	0.003284855706867514	0.0004941959254652551	0.002316231692955614	0.004253479720779414	168233	100054	173.69647974865433	52877.963371576465	22
strict_pass	Jew_Turkish	Lebanese_Muslim	0.0024205003354741106	0.00040915142229581975	0.001618563547774304	0.003222437123173917	171409	109838	128.61639908253517	53136.28641052954	22
strict_pass	Jew_Turkish	Maltese	0.003375297717429961	0.0004863969457409108	0.002421959703777776	0.004328635731082146	167550	93805	178.58632523232373	52909.7994260204	22
