Panel	Population_1	Population_2	Hudson_FST_ratio_of_sums	Chromosome_jackknife_SE	CI95_low	CI95_high	SNPs_used	Negative_numerator_SNPs	Sum_numerator	Sum_denominator	Jackknife_blocks
primary	Greek	Jew_Ashkenazi	0.005653984190853242	0.0004499911523023339	0.004772001532340668	0.006535966849365816	172325	112423	297.1904606439272	52563.01585078862	22
primary	Greek	Jew_Iraqi	0.02584486583175074	0.0007221832957479245	0.024429386572084807	0.02726034509141667	171904	92747	1363.56380562554	52759.56216999915	22
primary	Greek	Jew_Turkish	0.002454728057406201	0.0003997961868198382	0.0016711275312393183	0.003238328583573084	173359	110127	129.0857596368459	52586.582553362314	22
primary	Greek	Jew_Yemenite	0.027385835281194357	0.0004439622595574392	0.026515669252461776	0.028256001309926938	174304	90633	1458.9156506371598	53272.6365895798	22
primary	Greek	Lebanese	0.005760048253736443	0.00047507717801329103	0.004828896984830393	0.006691199522642493	174387	107958	305.7759697018398	53085.66113200324	22
primary	Greek	Lebanese_Christian	0.004307745489705417	0.00034029452994729735	0.003640768211008714	0.00497472276840212	173681	109916	226.64066834377667	52612.36275109544	22
primary	Greek	Lebanese_Muslim	0.0039055382362573276	0.0003763276322870509	0.0031679360769747075	0.004643140395539948	175596	115085	206.58622350774382	52895.711425863585	22
primary	Greek	Maltese	0.0034979670314234123	0.0003054672657447911	0.0028992511905636216	0.004096682872283203	173441	109357	183.98134639729685	52596.649638069954	22
primary	Greek	Palestinian	0.011235765294883567	0.00024633739834816246	0.010752943994121168	0.011718586595645966	183215	96671	599.882694722928	53390.46152878404	22
primary	Greek	Sicilian	0.001278017983077359	0.0002644853653670486	0.0007596266669579439	0.0017964092991967742	174303	116959	66.98260138850765	52411.313671204545	22
primary	Italian_Bergamo	Italian_Central	0.012621679378548703	0.0002543248061597965	0.012123202758475502	0.013120155998621904	173096	94639	656.9610623772587	52050.21001355835	22
primary	Italian_Bergamo	Italian_North	0.012143512426657722	0.00027540620433585283	0.01160371626615945	0.012683308587155993	173211	98081	630.5067989189632	51921.28741391659	22
primary	Italian_Bergamo	Italian_South	0.014236770514286038	0.00024554711103430814	0.013755498176658795	0.014718042851913282	175492	96123	742.4956879915782	52153.37897358906	22
primary	Italian_Bergamo	Italian_Tuscan	0.029322709305844793	0.0003849894793376104	0.028568129926343076	0.03007728868534651	168496	76818	1526.237077145057	52049.66093773734	22
primary	Italian_Bergamo	Jew_Ashkenazi	0.018275620304141205	0.0006042169510826731	0.017091355080019164	0.019459885528263245	168745	94582	958.6219377963297	52453.59237295539	22
primary	Italian_Bergamo	Jew_Iraqi	0.03973203325198626	0.0008374274141391785	0.03809067552027347	0.04137339098369905	168157	75608	2094.665188239985	52719.808597645075	22
primary	Italian_Bergamo	Jew_Turkish	0.01568461206518171	0.00041020776984086895	0.014880604836293608	0.016488619294069813	170253	90914	823.6028168712927	52510.24465562713	22
primary	Italian_Bergamo	Jew_Yemenite	0.041582207564231165	0.00046560982909845923	0.04066961229919819	0.04249480282926414	171234	74800	2214.561399809391	53257.42738378198	22
primary	Italian_Bergamo	Lebanese	0.02000455313909299	0.0005915438415900598	0.01884512720957647	0.021163979068609506	171363	89486	1061.6553493466586	53070.685556677934	22
primary	Italian_Bergamo	Lebanese_Christian	0.01877473002659997	0.00038273347340933	0.01802457241871768	0.019524887634482256	170834	90705	987.5970639328424	52602.46419168843	22
primary	Italian_Bergamo	Lebanese_Muslim	0.017855021611149467	0.0005703744133531117	0.01673708776097737	0.018972955461321564	173350	96379	943.8543775898843	52862.12462495704	22
primary	Italian_Bergamo	Maltese	0.015896205903644135	0.000348479397739884	0.015213186284073962	0.016579225523214308	170225	90878	834.1690205468292	52475.98235724914	22
primary	Italian_Bergamo	Palestinian	0.025185715252036195	0.00037127343559271764	0.024458019318274467	0.025913411185797923	182915	72967	1344.0036462398987	53363.727525317736	22
primary	Italian_Bergamo	Sicilian	0.013775603018034486	0.00033378673049172313	0.01312138102627071	0.014429825009798263	171677	98494	720.3793937688795	52293.85550859637	22
primary	Italian_Central	Italian_North	0.0006162457008332751	0.00022444929767893295	0.00017632507738256646	0.0010561663242839837	174884	117525	32.11805147299556	52118.90554297771	22
primary	Italian_Central	Italian_South	0.0015367357382879835	0.00023228677234677573	0.001081453664488303	0.001992017812087664	176537	115226	80.35167318480327	52287.24183529427	22
primary	Italian_Central	Italian_Tuscan	0.0166427737633071	0.00035945047705752395	0.015938250828274353	0.01734729669833985	171071	88675	868.5528032249046	52187.98354032986	22
primary	Italian_Central	Jew_Ashkenazi	0.005127579439857978	0.00040752852846596944	0.004328823524064678	0.005926335355651279	171428	103810	269.5080641620926	52560.48537583599	22
primary	Italian_Central	Jew_Iraqi	0.025571780596036788	0.000599698153802519	0.02439637221458385	0.026747188977489726	170813	82005	1349.4379030932614	52770.58818901342	22
primary	Italian_Central	Jew_Turkish	0.0019388788541343975	0.0003912882626340005	0.0011719538593717566	0.0027058038488970383	172512	99852	101.95517653885918	52584.60389180764	22
primary	Italian_Central	Jew_Yemenite	0.027189109239415477	0.00046389277978334297	0.026279879391040123	0.02809833908779083	173219	88356	1448.8455982950084	53287.71845878082	22
primary	Italian_Central	Lebanese	0.005349617671043833	0.0005653079149447396	0.004241614157752143	0.006457621184335522	173527	98079	284.0060834666585	53089.04316731151	22
primary	Italian_Central	Lebanese_Christian	0.0047508838021568635	0.0004955509194435761	0.0037796040000474544	0.005722163604266273	172660	102915	250.1865797329732	52661.060584009756	22
primary	Italian_Central	Lebanese_Muslim	0.004123340767693867	0.00035787088344389805	0.0034219138361438273	0.004824767699243907	174947	110532	218.25888365725908	52932.536007526855	22
primary	Italian_Central	Maltese	0.0034221834863579995	0.0004665023985446206	0.0025078387852105434	0.004336528187505456	172517	99159	180.06806836425116	52617.88828157941	22
primary	Italian_Central	Palestinian	0.011164471845757177	0.0002009305207903669	0.010770648025008057	0.011558295666506296	183007	98285	596.3173068170609	53412.04806241495	22
primary	Italian_Central	Sicilian	0.000973745980803937	0.0002073744670562242	0.0005672920253737376	0.0013801999362341366	173616	112072	51.04427773987919	52420.527269069076	22
primary	Italian_North	Italian_South	0.0024690865117340485	0.00015681168786819372	0.0021617356035123886	0.0027764374199557083	176690	116892	128.96876015828443	52233.39058610352	22
primary	Italian_North	Italian_Tuscan	0.017222531167261683	0.00041265611705423383	0.016413725177835386	0.01803133715668798	171731	98653	897.5437056874131	52114.506106602625	22
primary	Italian_North	Jew_Ashkenazi	0.005941811275323208	0.0004868466291754956	0.004987591882139236	0.006896030668507179	172025	112414	311.94780606430226	52500.45678156173	22
primary	Italian_North	Jew_Iraqi	0.02806873416606218	0.0006543034996443929	0.02678629930675917	0.02935116902536519	171595	91534	1482.0497004627932	52800.73165019087	22
primary	Italian_North	Jew_Turkish	0.003735161473338572	0.0004025020972138536	0.0029462573627994193	0.0045240655838777255	173092	109523	196.38195001221317	52576.562329093234	22
primary	Italian_North	Jew_Yemenite	0.029469976567506884	0.0003800970950508318	0.028724986261207255	0.030214966873806513	174065	89442	1570.966989383547	53307.37151368045	22
