panel	K	Ashkenazi_population	comparator	component_euclidean_distance	rank	source
primary	4	Jew_Ashkenazi	Jew_Yemenite	0.43717463501190984	15	aligned_replicate_consensus
primary	4	Jew_Ashkenazi	Palestinian	0.633382178498409	16	aligned_replicate_consensus
primary	4	Jew_Ashkenazi	Druze	0.7300781055750053	17	aligned_replicate_consensus
strict_pass	4	Jew_Ashkenazi	Maltese	0.028522098095763868	1	aligned_replicate_consensus
strict_pass	4	Jew_Ashkenazi	Italian_South	0.06642460402315724	2	aligned_replicate_consensus
strict_pass	4	Jew_Ashkenazi	Sicilian	0.07406439210702857	3	aligned_replicate_consensus
strict_pass	4	Jew_Ashkenazi	Jew_Turkish	0.11566745237956208	4	aligned_replicate_consensus
strict_pass	4	Jew_Ashkenazi	Cypriot	0.17081366590399588	5	aligned_replicate_consensus
strict_pass	4	Jew_Ashkenazi	Italian_Central	0.23093912467086986	6	aligned_replicate_consensus
strict_pass	4	Jew_Ashkenazi	Greek	0.25477111351304477	7	aligned_replicate_consensus
strict_pass	4	Jew_Ashkenazi	Italian_Tuscan	0.32116157637424175	8	aligned_replicate_consensus
strict_pass	4	Jew_Ashkenazi	Lebanese_Christian	0.3340573545877745	9	aligned_replicate_consensus
strict_pass	4	Jew_Ashkenazi	Italian_North	0.35052299647877383	10	aligned_replicate_consensus
strict_pass	4	Jew_Ashkenazi	Italian_Bergamo	0.3641633348081395	11	aligned_replicate_consensus
strict_pass	4	Jew_Ashkenazi	Lebanese_Muslim	0.36756571352471795	12	aligned_replicate_consensus
strict_pass	4	Jew_Ashkenazi	Jew_Iraqi	0.38599686240104764	13	aligned_replicate_consensus
strict_pass	4	Jew_Ashkenazi	Lebanese	0.42871728713931356	14	aligned_replicate_consensus
strict_pass	4	Jew_Ashkenazi	Jew_Yemenite	0.8466339605508729	15	aligned_replicate_consensus
strict_pass	4	Jew_Ashkenazi	Palestinian	0.8623866591456184	16	aligned_replicate_consensus
strict_pass	4	Jew_Ashkenazi	Druze	0.8737108054133268	17	aligned_replicate_consensus
primary	5	Jew_Ashkenazi	Maltese	0.016404071098343496	1	aligned_replicate_consensus
primary	5	Jew_Ashkenazi	Sicilian	0.04600047114898433	2	aligned_replicate_consensus
primary	5	Jew_Ashkenazi	Italian_South	0.05831597111406049	3	aligned_replicate_consensus
primary	5	Jew_Ashkenazi	Jew_Turkish	0.0616092816905087	4	aligned_replicate_consensus
primary	5	Jew_Ashkenazi	Cypriot	0.09086939319973998	5	aligned_replicate_consensus
primary	5	Jew_Ashkenazi	Greek	0.11419501745094646	6	aligned_replicate_consensus
primary	5	Jew_Ashkenazi	Italian_Central	0.12027117242966937	7	aligned_replicate_consensus
primary	5	Jew_Ashkenazi	Lebanese_Christian	0.1684095819704197	8	aligned_replicate_consensus
primary	5	Jew_Ashkenazi	Jew_Iraqi	0.19136197939643113	9	aligned_replicate_consensus
primary	5	Jew_Ashkenazi	Lebanese_Muslim	0.19187185650218735	10	aligned_replicate_consensus
primary	5	Jew_Ashkenazi	Italian_North	0.1994365874869999	11	aligned_replicate_consensus
primary	5	Jew_Ashkenazi	Lebanese	0.2203202533209756	12	aligned_replicate_consensus
primary	5	Jew_Ashkenazi	Italian_Bergamo	0.3927482036477204	13	aligned_replicate_consensus
primary	5	Jew_Ashkenazi	Italian_Tuscan	0.4368668707219683	14	aligned_replicate_consensus
primary	5	Jew_Ashkenazi	Jew_Yemenite	0.4648658729013892	15	aligned_replicate_consensus
primary	5	Jew_Ashkenazi	Palestinian	0.6230759337829819	16	aligned_replicate_consensus
primary	5	Jew_Ashkenazi	Druze	0.6509388808466707	17	aligned_replicate_consensus
strict_pass	5	Jew_Ashkenazi	Maltese	0.03121511620769464	1	aligned_replicate_consensus
strict_pass	5	Jew_Ashkenazi	Sicilian	0.08192973507537833	2	aligned_replicate_consensus
strict_pass	5	Jew_Ashkenazi	Jew_Turkish	0.11434191846104952	3	aligned_replicate_consensus
strict_pass	5	Jew_Ashkenazi	Cypriot	0.16885180342369976	4	aligned_replicate_consensus
strict_pass	5	Jew_Ashkenazi	Italian_South	0.17464763553954943	5	aligned_replicate_consensus
strict_pass	5	Jew_Ashkenazi	Italian_Central	0.25423727641324134	6	aligned_replicate_consensus
strict_pass	5	Jew_Ashkenazi	Greek	0.28072206262207433	7	aligned_replicate_consensus
strict_pass	5	Jew_Ashkenazi	Lebanese_Christian	0.34065350045550646	8	aligned_replicate_consensus
strict_pass	5	Jew_Ashkenazi	Italian_Tuscan	0.36237728750909937	9	aligned_replicate_consensus
strict_pass	5	Jew_Ashkenazi	Lebanese_Muslim	0.37487197544866807	10	aligned_replicate_consensus
strict_pass	5	Jew_Ashkenazi	Italian_North	0.3845041044548566	11	aligned_replicate_consensus
strict_pass	5	Jew_Ashkenazi	Jew_Iraqi	0.3987131234272232	12	aligned_replicate_consensus
strict_pass	5	Jew_Ashkenazi	Italian_Bergamo	0.40172760617502906	13	aligned_replicate_consensus
strict_pass	5	Jew_Ashkenazi	Lebanese	0.44135680308956327	14	aligned_replicate_consensus
strict_pass	5	Jew_Ashkenazi	Palestinian	0.8368173740186787	15	aligned_replicate_consensus
strict_pass	5	Jew_Ashkenazi	Druze	0.8741815634993669	16	aligned_replicate_consensus
strict_pass	5	Jew_Ashkenazi	Jew_Yemenite	1.0230555529547494	17	aligned_replicate_consensus
primary	6	Jew_Ashkenazi	Maltese	0.015993167115746908	1	aligned_replicate_consensus
primary	6	Jew_Ashkenazi	Sicilian	0.05737935516556299	2	aligned_replicate_consensus
primary	6	Jew_Ashkenazi	Jew_Turkish	0.06834092214954983	3	aligned_replicate_consensus
primary	6	Jew_Ashkenazi	Italian_South	0.07001745857566948	4	aligned_replicate_consensus
primary	6	Jew_Ashkenazi	Cypriot	0.10230567696183135	5	aligned_replicate_consensus
primary	6	Jew_Ashkenazi	Greek	0.1382331348136569	6	aligned_replicate_consensus
primary	6	Jew_Ashkenazi	Italian_Central	0.14489847343018192	7	aligned_replicate_consensus
primary	6	Jew_Ashkenazi	Lebanese_Christian	0.18581710881575075	8	aligned_replicate_consensus
primary	6	Jew_Ashkenazi	Lebanese_Muslim	0.2166751029379404	9	aligned_replicate_consensus
primary	6	Jew_Ashkenazi	Italian_North	0.23150187435600017	10	aligned_replicate_consensus
primary	6	Jew_Ashkenazi	Jew_Iraqi	0.2369269068594045	11	aligned_replicate_consensus
primary	6	Jew_Ashkenazi	Lebanese	0.24236100083301246	12	aligned_replicate_consensus
primary	6	Jew_Ashkenazi	Italian_Bergamo	0.4277403228977243	13	aligned_replicate_consensus
primary	6	Jew_Ashkenazi	Italian_Tuscan	0.5246733734527984	14	aligned_replicate_consensus
primary	6	Jew_Ashkenazi	Jew_Yemenite	0.6102947158467447	15	aligned_replicate_consensus
primary	6	Jew_Ashkenazi	Palestinian	0.6279134054134243	16	aligned_replicate_consensus
primary	6	Jew_Ashkenazi	Druze	0.7095137030472003	17	aligned_replicate_consensus
strict_pass	6	Jew_Ashkenazi	Maltese	0.049378817843406884	1	aligned_replicate_consensus
strict_pass	6	Jew_Ashkenazi	Jew_Turkish	0.10709279080552489	2	aligned_replicate_consensus
strict_pass	6	Jew_Ashkenazi	Sicilian	0.1257262144483252	3	aligned_replicate_consensus
strict_pass	6	Jew_Ashkenazi	Italian_South	0.1503947129765484	4	aligned_replicate_consensus
strict_pass	6	Jew_Ashkenazi	Cypriot	0.17009612790257425	5	aligned_replicate_consensus
strict_pass	6	Jew_Ashkenazi	Italian_Central	0.2858819303751244	6	aligned_replicate_consensus
strict_pass	6	Jew_Ashkenazi	Greek	0.31397152303383086	7	aligned_replicate_consensus
strict_pass	6	Jew_Ashkenazi	Italian_Tuscan	0.3905810782445538	8	aligned_replicate_consensus
strict_pass	6	Jew_Ashkenazi	Lebanese_Muslim	0.40576481634020123	9	aligned_replicate_consensus
strict_pass	6	Jew_Ashkenazi	Italian_North	0.4407192517147066	10	aligned_replicate_consensus
strict_pass	6	Jew_Ashkenazi	Italian_Bergamo	0.46235488811853	11	aligned_replicate_consensus
strict_pass	6	Jew_Ashkenazi	Lebanese_Christian	0.46689068208352	12	aligned_replicate_consensus
strict_pass	6	Jew_Ashkenazi	Lebanese	0.4823186666409535	13	aligned_replicate_consensus
strict_pass	6	Jew_Ashkenazi	Jew_Iraqi	0.5944807716245817	14	aligned_replicate_consensus
strict_pass	6	Jew_Ashkenazi	Druze	0.766159237350036	15	aligned_replicate_consensus
strict_pass	6	Jew_Ashkenazi	Palestinian	0.794959853481604	16	aligned_replicate_consensus
strict_pass	6	Jew_Ashkenazi	Jew_Yemenite	1.0886183359404085	17	aligned_replicate_consensus
primary	7	Jew_Ashkenazi	Maltese	0.014798097381077284	1	aligned_replicate_consensus
primary	7	Jew_Ashkenazi	Sicilian	0.05495480288636577	2	aligned_replicate_consensus
primary	7	Jew_Ashkenazi	Jew_Turkish	0.06697727014230866	3	aligned_replicate_consensus
primary	7	Jew_Ashkenazi	Italian_South	0.0706945327462948	4	aligned_replicate_consensus
primary	7	Jew_Ashkenazi	Cypriot	0.09875447436487489	5	aligned_replicate_consensus
primary	7	Jew_Ashkenazi	Greek	0.1377493202940946	6	aligned_replicate_consensus
primary	7	Jew_Ashkenazi	Italian_Central	0.14263004936901955	7	aligned_replicate_consensus
primary	7	Jew_Ashkenazi	Lebanese_Christian	0.18339197877637164	8	aligned_replicate_consensus
primary	7	Jew_Ashkenazi	Lebanese_Muslim	0.21307881636755877	9	aligned_replicate_consensus
primary	7	Jew_Ashkenazi	Italian_North	0.2275615904767517	10	aligned_replicate_consensus
primary	7	Jew_Ashkenazi	Lebanese	0.23555308033176814	11	aligned_replicate_consensus
primary	7	Jew_Ashkenazi	Jew_Iraqi	0.24056028438796753	12	aligned_replicate_consensus
primary	7	Jew_Ashkenazi	Italian_Bergamo	0.4081639388564552	13	aligned_replicate_consensus
primary	7	Jew_Ashkenazi	Italian_Tuscan	0.5064985061065009	14	aligned_replicate_consensus
primary	7	Jew_Ashkenazi	Jew_Yemenite	0.604971314775918	15	aligned_replicate_consensus
primary	7	Jew_Ashkenazi	Palestinian	0.6171678717632435	16	aligned_replicate_consensus
primary	7	Jew_Ashkenazi	Druze	0.6554882732454	17	aligned_replicate_consensus
strict_pass	7	Jew_Ashkenazi	Maltese	0.06708155280975729	1	aligned_replicate_consensus
